NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn

NXDOMAIN for tsinghua.edu.cn

13hl-3s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hl-3s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hl-4s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hl-4s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hl-5s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hl-5s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hl-6s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hl-6s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hl-7s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hl-7s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hl-8s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hl-8s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hl-9s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hl-9s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hlb-10s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hlb-10s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hlb-11s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hlb-11s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hlb-12s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hlb-12s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hlb-13s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hlb-13s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hlb-14s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hlb-14s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hlb-1s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hlb-1s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hlb-2s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hlb-2s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hlb-3s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hlb-3s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hlb-4s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hlb-4s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hlb-5s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hlb-5s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hlb-6s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hlb-6s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hlb-7s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hlb-7s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hlb-8s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hlb-8s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hlb-9s.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hlb-9s.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hlbs.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hlbs.tsinghua.edu.cn. 60 IN A 220.250.64.225

13hls.tsinghua.edu.cn. 0 IN A 220.250.64.225

13hls.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hl-10s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hl-10s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hl-11s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hl-11s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hl-12s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hl-12s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hl-13s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hl-13s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hl-14s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hl-14s.tsinghua.edu.cn. 60 IN A 220.250.64.225

14hl-15s.tsinghua.edu.cn. 0 IN A 220.250.64.225

14hl-15s.tsinghua.edu.cn. 60 IN A 220.250.64.225
