jwc.cumtb.edu.cncumtb.edu.cn. 0 IN A 220.250.64.225

www.cumtb.edu.cncumtb.edu.cn. 0 IN A 220.250.64.225

NXDOMAIN for cumtb.edu.cn

NXDOMAIN for cumtb.edu.cn

NXDOMAIN for cumtb.edu.cn

NXDOMAIN for cumtb.edu.cn

NXDOMAIN for cumtb.edu.cn

NXDOMAIN for cumtb.edu.cn

NXDOMAIN for cumtb.edu.cn

lib.cumtb.edu.cn. 3599 IN A 219.242.65.10

lib.cumtb.edu.cn. 3599 IN A 219.242.65.10

lib.cumtb.edu.cn. 3599 IN A 219.242.65.10

lib.cumtb.edu.cn. 3599 IN A 219.242.65.10

ljxy.cumtb.edu.cn. 3600 IN A 202.112.209.92

login.cumtb.edu.cn. 3600 IN A 202.112.208.2

login.cumtb.edu.cn. 3599 IN A 202.112.208.2

login.cumtb.edu.cn. 3599 IN A 202.112.208.2

ltxc.cumtb.edu.cn. 3600 IN A 202.112.209.92

lxy.cumtb.edu.cn. 3600 IN A 202.112.209.92

lxy.cumtb.edu.cn. 3599 IN A 202.112.209.92

mail.cumtb.edu.cn. 3600 IN A 202.112.209.40

mail.cumtb.edu.cn. 3599 IN A 202.112.209.40

mail.cumtb.edu.cn. 3599 IN A 202.112.209.40

mail.cumtb.edu.cn. 3599 IN A 202.112.209.40

news.cumtb.edu.cn. 3600 IN A 118.228.224.4

news.cumtb.edu.cn. 3599 IN A 118.228.224.4

news.cumtb.edu.cn. 3599 IN A 118.228.224.4

news8.cumtb.edu.cn. 3600 IN A 202.112.209.92

news8.cumtb.edu.cn. 3599 IN A 202.112.209.92

nyxy.cumtb.edu.cn. 3600 IN A 202.112.209.92

oa.cumtb.edu.cn. 3600 IN A 202.112.209.41

oa.cumtb.edu.cn. 3599 IN A 202.112.209.41

oa.cumtb.edu.cn. 3599 IN A 202.112.209.41

owvlab.cumtb.edu.cn. 3600 IN A 202.112.209.92

rs.cumtb.edu.cn. 3600 IN A 202.112.209.92

rs.cumtb.edu.cn. 3599 IN A 202.112.209.92

scee.cumtb.edu.cn. 3600 IN A 202.112.209.92

scee.cumtb.edu.cn. 3599 IN A 202.112.209.92

scee8.cumtb.edu.cn. 3600 IN A 202.112.209.92

shxq.cumtb.edu.cn. 3600 IN A 202.112.209.92

sjc.cumtb.edu.cn. 3600 IN A 202.112.209.92

smarx.cumtb.edu.cn. 3600 IN A 202.112.209.92

smarx.cumtb.edu.cn. 3599 IN A 202.112.209.92

student.cumtb.edu.cn. 3600 IN A 202.112.209.40

student.cumtb.edu.cn. 3599 IN A 202.112.209.40

sysxc.cumtb.edu.cn. 3600 IN A 202.112.209.43

sysxc.cumtb.edu.cn. 3599 IN A 202.112.209.43

sysxc.cumtb.edu.cn. 3599 IN A 202.112.209.43

tiyu.cumtb.edu.cn. 3600 IN A 202.112.209.92

tzb.cumtb.edu.cn. 3600 IN A 202.112.209.92

vpn.cumtb.edu.cn. 3600 IN A 202.112.215.5

vpn.cumtb.edu.cn. 3599 IN A 202.112.215.5

vpn.cumtb.edu.cn. 3599 IN A 202.112.215.5

vpn.cumtb.edu.cn. 3599 IN A 202.112.215.5

vpn.cumtb.edu.cn. 3599 IN A 202.112.215.5

vpn.cumtb.edu.cn. 3599 IN A 202.112.215.5

vpn.cumtb.edu.cn. 3599 IN A 202.112.215.5

vpn.cumtb.edu.cn. 3599 IN A 202.112.215.5

vpn.cumtb.edu.cn. 3599 IN A 202.112.215.5

vpn.cumtb.edu.cn. 3599 IN A 202.112.215.5

www.vpn.cumtb.edu.cn. 3600 IN A 202.112.215.5

www.vpn.cumtb.edu.cn. 3599 IN A 202.112.215.5

www.vpn.cumtb.edu.cn. 3599 IN A 202.112.215.5

www.vpn.cumtb.edu.cn. 3599 IN A 202.112.215.5

www.vpn.cumtb.edu.cn. 3599 IN A 202.112.215.5

www.vpn.cumtb.edu.cn. 3599 IN A 202.112.215.5

www.vpn.cumtb.edu.cn. 3599 IN A 202.112.215.5

www.vpn.cumtb.edu.cn. 3599 IN A 202.112.215.5

www.vpn.cumtb.edu.cn. 3599 IN A 202.112.215.5

weixin.cumtb.edu.cn. 3600 IN A 202.112.209.132

weixin.cumtb.edu.cn. 3599 IN A 202.112.209.132

weixin.cumtb.edu.cn. 3599 IN A 202.112.209.132

wfxy.cumtb.edu.cn. 3600 IN A 202.112.209.92

wfxy.cumtb.edu.cn. 3599 IN A 202.112.209.92

wfxy.cumtb.edu.cn. 3599 IN A 202.112.209.92

