NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

NXDOMAIN for jiangnan.edu.cn

2019.jiangnan.edu.cn. 4320 IN A 202.195.147.56
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.249

biotech.jiangnan.edu.cn. 3656 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.249

biotech.jiangnan.edu.cn. 3656 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.249

biotech.jiangnan.edu.cn. 3656 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.249

biotech.jiangnan.edu.cn. 3656 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.249

bmb.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249

brua-fse.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248

building.jiangnan.edu.cn. 30 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.248

busi.jiangnan.edu.cn. 876 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.248

busi.jiangnan.edu.cn. 875 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.248

busi.jiangnan.edu.cn. 875 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.248

busi.jiangnan.edu.cn. 875 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.248

busi.jiangnan.edu.cn. 875 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.249
webpub.jiangnan.edu.cn. 2907 IN A 202.195.147.248

bwch.jiangnan.edu.cn. 4320 IN CNAME webpub.jiangnan.edu.cn.
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.248
webpub.jiangnan.edu.cn. 4318 IN A 202.195.147.249

bwch.jiangnan.edu.cn. 4319 IN CNAME webpub.jiangnan.edu.cn.
