NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

532movie.bnu.edu.cn. 10800 IN A 172.16.215.40
gcess.bnu.edu.cn. 7199 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

gcr.bnu.edu.cn. 10800 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

gd.bnu.edu.cn. 10800 IN A 219.224.31.6

gd.bnu.edu.cn. 7199 IN A 219.224.31.6

gd.bnu.edu.cn. 7199 IN A 219.224.31.6

gda.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4407 IN A 60.247.18.9

gdi.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

gdi.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

geo.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

geo.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

geog.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4407 IN A 60.247.18.9

geog.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4407 IN A 60.247.18.9

geogother.bnu.edu.cn. 10800 IN A 219.224.19.180

geot.bnu.edu.cn. 10800 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

geot.bnu.edu.cn. 7199 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

geot.bnu.edu.cn. 7199 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

geot.bnu.edu.cn. 7199 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

geot.bnu.edu.cn. 7199 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

geot.bnu.edu.cn. 7199 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

geot.bnu.edu.cn. 7199 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

geot.bnu.edu.cn. 7199 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

ggwy.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4407 IN A 60.247.18.9

ggwy.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4407 IN A 60.247.18.9

gh.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

gh.bnu.edu.cn. 7199 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

ghc.bnu.edu.cn. 60 IN A 220.250.64.225

glass.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4406 IN A 60.247.18.9

glass-product.bnu.edu.cn. 4110 IN A 219.224.31.21

glass-product.bnu.edu.cn. 4109 IN A 219.224.31.21

glass-product.bnu.edu.cn. 4109 IN A 219.224.31.21

glass-product.bnu.edu.cn. 4109 IN A 219.224.31.21

glass-product.bnu.edu.cn. 4109 IN A 219.224.31.21

glass-product.bnu.edu.cn. 4109 IN A 219.224.31.21

glass-product.bnu.edu.cn. 4109 IN A 219.224.31.21

glass-product.bnu.edu.cn. 4109 IN A 219.224.31.21

glass-product.bnu.edu.cn. 4109 IN A 219.224.31.21

glass-product.bnu.edu.cn. 4109 IN A 219.224.31.21

glass-product.bnu.edu.cn. 4109 IN A 219.224.31.21

globalchange.bnu.edu.cn. 10800 IN A 219.143.237.163

gnhz.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

gonglab.bnu.edu.cn. 10800 IN A 219.224.19.82

gonglab.bnu.edu.cn. 7199 IN A 219.224.19.82

graduate.bnu.edu.cn. 10800 IN A 59.64.36.102

kw.graduate.bnu.edu.cn. 10800 IN CNAME graduate.bnu.edu.cn.
graduate.bnu.edu.cn. 7199 IN A 59.64.36.102

ss.graduate.bnu.edu.cn. 10800 IN A 59.64.36.102

ss.graduate.bnu.edu.cn. 7199 IN A 59.64.36.102

pb.ss.graduate.bnu.edu.cn. 10800 IN CNAME graduate.bnu.edu.cn.
graduate.bnu.edu.cn. 7199 IN A 59.64.36.102

zs.graduate.bnu.edu.cn. 10800 IN A 59.64.36.102

2017.zs.graduate.bnu.edu.cn. 10800 IN A 59.64.36.102

2020.zs.graduate.bnu.edu.cn. 10800 IN A 59.64.36.102

mail.zs.graduate.bnu.edu.cn. 10800 IN A 59.64.36.102

gtes.bnu.edu.cn. 10800 IN CNAME plesk2014.bnu.edu.cn.
plesk2014.bnu.edu.cn. 7199 IN A 219.224.19.80

gtes.bnu.edu.cn. 7199 IN CNAME plesk2014.bnu.edu.cn.
plesk2014.bnu.edu.cn. 7199 IN A 219.224.19.80

gtes.bnu.edu.cn. 7199 IN CNAME plesk2014.bnu.edu.cn.
plesk2014.bnu.edu.cn. 7199 IN A 219.224.19.80

gtes.bnu.edu.cn. 7199 IN CNAME plesk2014.bnu.edu.cn.
plesk2014.bnu.edu.cn. 7199 IN A 219.224.19.80

gtes.bnu.edu.cn. 7199 IN CNAME plesk2014.bnu.edu.cn.
plesk2014.bnu.edu.cn. 7199 IN A 219.224.19.80

gtes.bnu.edu.cn. 7199 IN CNAME plesk2014.bnu.edu.cn.
plesk2014.bnu.edu.cn. 7199 IN A 219.224.19.80

gtes.bnu.edu.cn. 7199 IN CNAME plesk2014.bnu.edu.cn.
plesk2014.bnu.edu.cn. 7199 IN A 219.224.19.80

gtt.bnu.edu.cn. 10800 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

gtt.bnu.edu.cn. 7199 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

gtt.bnu.edu.cn. 7199 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

gtt.bnu.edu.cn. 7199 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

gtt.bnu.edu.cn. 7199 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

gtt.bnu.edu.cn. 7199 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

gtt.bnu.edu.cn. 7199 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

gtt.bnu.edu.cn. 7199 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

gujiyuan.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 6427 IN A 60.247.18.6

gujiyuan.bnu.edu.cn. 7199 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 6427 IN A 60.247.18.6

guoxue.bnu.edu.cn. 10800 IN A 219.143.237.162

guoxue.bnu.edu.cn. 7199 IN A 219.143.237.162

guoxue.bnu.edu.cn. 7199 IN A 219.143.237.162

gw.bnu.edu.cn. 10800 IN A 172.16.202.202

gxb.bnu.edu.cn. 10800 IN A 219.224.19.80

hanlab.bnu.edu.cn. 10800 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

haolaoshi.bnu.edu.cn. 10800 IN A 60.247.18.11

hcwy.bnu.edu.cn. 10800 IN A 219.224.19.80

helab.bnu.edu.cn. 10800 IN A 219.224.19.82

helab.bnu.edu.cn. 7199 IN A 219.224.19.82

helab.bnu.edu.cn. 7199 IN A 219.224.19.82

helab.bnu.edu.cn. 7199 IN A 219.224.19.82

helab.bnu.edu.cn. 7199 IN A 219.224.19.82

helab.bnu.edu.cn. 7199 IN A 219.224.19.82

helab.bnu.edu.cn. 7199 IN A 219.224.19.82

helab.bnu.edu.cn. 7199 IN A 219.224.19.82

helab.bnu.edu.cn. 7199 IN A 219.224.19.82

helab.bnu.edu.cn. 7199 IN A 219.224.19.82

history.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 6426 IN A 60.247.18.6

history.bnu.edu.cn. 7199 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 6426 IN A 60.247.18.6

hq.bnu.edu.cn. 10800 IN A 219.224.19.47

hr.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 6426 IN A 60.247.18.6

hr.bnu.edu.cn. 7199 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 6426 IN A 60.247.18.6

hydrocity.bnu.edu.cn. 10800 IN A 59.64.36.55

hywh.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4405 IN A 60.247.18.9

hywh.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4405 IN A 60.247.18.9

hz.bnu.edu.cn. 10800 IN A 59.64.36.78

hz.bnu.edu.cn. 7199 IN A 59.64.36.78

hz.bnu.edu.cn. 7199 IN A 59.64.36.78

hz.bnu.edu.cn. 7199 IN A 59.64.36.78

hzbx.bnu.edu.cn. 4406 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4405 IN A 60.247.18.9

hzbx.bnu.edu.cn. 4405 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4405 IN A 60.247.18.9

iashr.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4405 IN A 60.247.18.9

icb.bnu.edu.cn. 10800 IN A 219.224.19.80

iccr-drr.bnu.edu.cn. 10800 IN A 219.224.19.82

icip.bnu.edu.cn. 10784 IN CNAME plesk4.bnu.edu.cn.
plesk4.bnu.edu.cn. 7199 IN A 219.224.19.87

icip.bnu.edu.cn. 7199 IN CNAME plesk4.bnu.edu.cn.
plesk4.bnu.edu.cn. 7199 IN A 219.224.19.87

ics.bnu.edu.cn. 10800 IN CNAME plesk3.bnu.edu.cn.
plesk3.bnu.edu.cn. 7199 IN A 219.224.19.70

idp.bnu.edu.cn. 10800 IN A 114.255.219.134

idp.bnu.edu.cn. 7199 IN A 114.255.219.134

iea.bnu.edu.cn. 10800 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

iea.bnu.edu.cn. 7199 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

iep.bnu.edu.cn. 10800 IN A 219.224.31.12

iep.bnu.edu.cn. 7199 IN A 219.224.31.12

iep.bnu.edu.cn. 7199 IN A 219.224.31.12

iep.bnu.edu.cn. 7199 IN A 219.224.31.12

iep.bnu.edu.cn. 7199 IN A 219.224.31.12

iep.bnu.edu.cn. 7199 IN A 219.224.31.12

iep.bnu.edu.cn. 7199 IN A 219.224.31.12

iep.bnu.edu.cn. 7199 IN A 219.224.31.12

iep.bnu.edu.cn. 7199 IN A 219.224.31.12

iep.bnu.edu.cn. 7199 IN A 219.224.31.12

iep.bnu.edu.cn. 7199 IN A 219.224.31.12

igpr.bnu.edu.cn. 10800 IN A 219.224.31.27

igpr.bnu.edu.cn. 7199 IN A 219.224.31.27

igpr.bnu.edu.cn. 7199 IN A 219.224.31.27

igpr.bnu.edu.cn. 7199 IN A 219.224.31.27

igpr.bnu.edu.cn. 7199 IN A 219.224.31.27

igpr.bnu.edu.cn. 7199 IN A 219.224.31.27

igpr.bnu.edu.cn. 7199 IN A 219.224.31.27

igpr.bnu.edu.cn. 7199 IN A 219.224.31.27

igpr.bnu.edu.cn. 7199 IN A 219.224.31.27

igpr.bnu.edu.cn. 7199 IN A 219.224.31.27

igpr.bnu.edu.cn<BR>www.igpr.bnu.edu.cn. 3600 IN A 220.250.64.225

igpr.bnu.edu.cn<BR>www.igpr.bnu.edu.cn. 3599 IN A 220.250.64.225

igpr.bnu.edu.cn<BR>www.igpr.bnu.edu.cn. 3599 IN A 220.250.64.225

igpr.bnu.edu.cn<BR>www.igpr.bnu.edu.cn. 3599 IN A 220.250.64.225

igpr.bnu.edu.cn<BR>www.igpr.bnu.edu.cn. 3599 IN A 220.250.64.225

igpr.bnu.edu.cn<BR>www.igpr.bnu.edu.cn. 3599 IN A 220.250.64.225

igpr.bnu.edu.cn<BR>www.igpr.bnu.edu.cn. 3599 IN A 220.250.64.225

www.igpr.bnu.edu.cn. 3600 IN A 220.250.64.225

www.igpr.bnu.edu.cn. 3599 IN A 220.250.64.225

www.igpr.bnu.edu.cn. 3599 IN A 220.250.64.225

www.igpr.bnu.edu.cn. 3599 IN A 220.250.64.225

www.igpr.bnu.edu.cn. 3599 IN A 220.250.64.225

www.igpr.bnu.edu.cn. 3599 IN A 220.250.64.225

www.igpr.bnu.edu.cn. 3599 IN A 220.250.64.225

www.igpr.bnu.edu.cn. 3599 IN A 220.250.64.225

www.igpr.bnu.edu.cn. 3599 IN A 220.250.64.225

imibr.bnu.edu.cn. 10800 IN A 114.255.220.22

ina.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

ina.bnu.edu.cn. 7199 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

ina.bnu.edu.cn. 7199 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

ina.bnu.edu.cn. 7199 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

inei.bnu.edu.cn. 10800 IN A 219.224.19.164

inei.bnu.edu.cn. 7199 IN A 219.224.19.164

inei.bnu.edu.cn. 7199 IN A 219.224.19.164

inei.bnu.edu.cn. 7199 IN A 219.224.19.164

inei.bnu.edu.cn. 7199 IN A 219.224.19.164

inei.bnu.edu.cn. 7199 IN A 219.224.19.164

inei.bnu.edu.cn. 7199 IN A 219.224.19.164

inei.bnu.edu.cn. 7199 IN A 219.224.19.164

inei.bnu.edu.cn. 7199 IN A 219.224.19.164

inei.bnu.edu.cn. 7199 IN A 219.224.19.164

inei.bnu.edu.cn. 7199 IN A 219.224.19.164

info.bnu.edu.cn. 10800 IN CNAME www.bnu.edu.cn.
www.bnu.edu.cn. 6560 IN A 60.247.18.7

info.bnu.edu.cn. 7199 IN CNAME www.bnu.edu.cn.
www.bnu.edu.cn. 6560 IN A 60.247.18.7

datacenter.info.bnu.edu.cn. 10800 IN CNAME plesklinux1.bnu.edu.cn.
plesklinux1.bnu.edu.cn. 7199 IN A 219.224.19.82

innovation2019.bnu.edu.cn. 10800 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

ipv6.bnu.edu.cn. 10800 IN CNAME mrtg.bnu.edu.cn.
mrtg.bnu.edu.cn. 7199 IN A 219.224.19.100

ipv6te.bnu.edu.cn. 10800 IN A 114.255.220.40

ires.bnu.edu.cn. 10800 IN A 219.143.237.164

ires.bnu.edu.cn. 7199 IN A 219.143.237.164

irg.bnu.edu.cn. 10800 IN A 219.224.19.82

ischool.bnu.edu.cn. 10800 IN CNAME plesk3.bnu.edu.cn.
plesk3.bnu.edu.cn. 7199 IN A 219.224.19.70

ischool.bnu.edu.cn. 7199 IN CNAME plesk3.bnu.edu.cn.
plesk3.bnu.edu.cn. 7199 IN A 219.224.19.70

iso.bnu.edu.cn. 10800 IN A 219.143.237.236

iso.bnu.edu.cn. 7199 IN A 219.143.237.236

iwrm2018.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

jcyjy.bnu.edu.cn. 10800 IN A 219.224.19.221

jgdw.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

jjb.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

jpc.bnu.edu.cn. 10800 IN A 219.143.237.228

jpc.bnu.edu.cn. 7199 IN A 219.143.237.228

jsgrzy.bnu.edu.cn. 10800 IN A 219.224.19.80

jsgzb.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4403 IN A 60.247.18.9

jsjysj.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4403 IN A 60.247.18.9

jsjysj.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4403 IN A 60.247.18.9

jsjyxy.bnu.edu.cn. 10800 IN A 219.224.19.80

jsty.bnu.edu.cn. 10800 IN A 219.224.19.123

jwb.bnu.edu.cn. 10800 IN A 219.224.19.181

jwb.bnu.edu.cn. 7199 IN A 219.224.19.181

jwc.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

dd.jwc.bnu.edu.cn. 10800 IN A 219.224.19.82

jwcold.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

jwcold.bnu.edu.cn. 7199 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

jyjsy.bnu.edu.cn. 10800 IN A 219.224.19.188

jyjsy.bnu.edu.cn. 7199 IN A 219.224.19.188

kczx.bnu.edu.cn. 10800 IN A 219.224.19.11

kczx.bnu.edu.cn. 7199 IN A 219.224.19.11

kejichu.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 6424 IN A 60.247.18.6

kejichu.bnu.edu.cn. 7199 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 6424 IN A 60.247.18.6

keyanyuan.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

keyanyuan.bnu.edu.cn. 7199 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

kg.bnu.edu.cn. 10800 IN A 219.224.31.46

kg.bnu.edu.cn. 7199 IN A 219.224.31.46

kg.bnu.edu.cn. 7199 IN A 219.224.31.46

kg.bnu.edu.cn. 7199 IN A 219.224.31.46

kg.bnu.edu.cn. 7199 IN A 219.224.31.46

kg.bnu.edu.cn. 7199 IN A 219.224.31.46

kg.bnu.edu.cn. 7199 IN A 219.224.31.46

kg.bnu.edu.cn. 7199 IN A 219.224.31.46

kg.bnu.edu.cn. 7199 IN A 219.224.31.46

kg.bnu.edu.cn. 7199 IN A 219.224.31.46

kino-eye.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

kino-eye.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

kled.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4403 IN A 60.247.18.9

ksei.bnu.edu.cn. 10800 IN A 59.64.36.69

ksei.bnu.edu.cn. 7199 IN A 59.64.36.69

ksei.bnu.edu.cn. 7199 IN A 59.64.36.69

ksei.bnu.edu.cn. 7199 IN A 59.64.36.69

ksei.bnu.edu.cn. 7199 IN A 59.64.36.69

ksei.bnu.edu.cn. 7199 IN A 59.64.36.69

ksei.bnu.edu.cn. 7199 IN A 59.64.36.69

ksei.bnu.edu.cn. 7199 IN A 59.64.36.69

ksei.bnu.edu.cn. 7199 IN A 59.64.36.69

labor.bnu.edu.cn. 10800 IN A 219.224.19.81

labs.bnu.edu.cn. 10800 IN A 219.224.19.217

law.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

law.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

lcell.bnu.edu.cn. 10800 IN A 59.64.36.36

lcell.bnu.edu.cn. 7199 IN A 59.64.36.36

lcell.bnu.edu.cn. 7199 IN A 59.64.36.36

lcell.bnu.edu.cn. 7199 IN A 59.64.36.36

lcell.bnu.edu.cn. 7199 IN A 59.64.36.36

lcell.bnu.edu.cn. 7199 IN A 59.64.36.36

lcell.bnu.edu.cn. 7199 IN A 59.64.36.36

lcell.bnu.edu.cn. 7199 IN A 59.64.36.36

lcell.bnu.edu.cn. 7199 IN A 59.64.36.36

lcell.bnu.edu.cn. 7199 IN A 59.64.36.36

lcell.bnu.edu.cn. 7199 IN A 59.64.36.36

ldsr.bnu.edu.cn. 10800 IN CNAME plesk3.bnu.edu.cn.
plesk3.bnu.edu.cn. 7199 IN A 219.224.19.70

ldtk.bnu.edu.cn. 10800 IN A 219.224.31.9

lenp.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

25s.lib.bnu.edu.cn. 10800 IN A 202.112.82.27

ame.lib.bnu.edu.cn. 10800 IN A 202.112.82.24

aq.lib.bnu.edu.cn. 10800 IN A 202.112.82.84

aq.lib.bnu.edu.cn. 7199 IN A 202.112.82.84

aq.lib.bnu.edu.cn. 7199 IN A 202.112.82.84

cceu.lib.bnu.edu.cn. 10800 IN A 202.112.82.70

ksei.bnu.edu.cnold.lib.bnu.edu.cn. 3600 IN A 220.250.64.225

digi.lib.bnu.edu.cn. 10800 IN CNAME digi2.lib.bnu.edu.cn.
digi2.lib.bnu.edu.cn. 7199 IN A 202.112.82.55

digi2.lib.bnu.edu.cn. 7199 IN A 202.112.82.55

discovery.lib.bnu.edu.cn. 10800 IN A 202.112.82.6

ebook.lib.bnu.edu.cn. 10800 IN A 202.112.82.33

email.lib.bnu.edu.cn. 10800 IN A 202.112.82.35

emlib.lib.bnu.edu.cn. 10800 IN A 202.112.82.28

etd.lib.bnu.edu.cn. 10800 IN A 202.112.82.116

idp.lib.bnu.edu.cn. 10800 IN A 202.112.82.52

idp.lib.bnu.edu.cn. 7199 IN A 202.112.82.52

idp.lib.bnu.edu.cn. 7199 IN A 202.112.82.52

idp.lib.bnu.edu.cn. 7199 IN A 202.112.82.52

idp.lib.bnu.edu.cn. 7199 IN A 202.112.82.52

idp.lib.bnu.edu.cn. 7199 IN A 202.112.82.52

idp.lib.bnu.edu.cn. 7199 IN A 202.112.82.52

idp.lib.bnu.edu.cn. 7199 IN A 202.112.82.52

idp.lib.bnu.edu.cn. 7199 IN A 202.112.82.52

idp.lib.bnu.edu.cn. 7199 IN A 202.112.82.52

idp.lib.bnu.edu.cn. 7199 IN A 202.112.82.52

imap.lib.bnu.edu.cn. 10800 IN A 202.112.82.35

imap.lib.bnu.edu.cn. 7199 IN A 202.112.82.35

imap.lib.bnu.edu.cn. 7199 IN A 202.112.82.35

imap.lib.bnu.edu.cn. 7199 IN A 202.112.82.35

ir.lib.bnu.edu.cn. 10800 IN A 202.112.82.45

m5000a1.lib.bnu.edu.cn. 10800 IN A 202.112.82.47

m5000a1.lib.bnu.edu.cn. 7199 IN A 202.112.82.47

m5000a1.lib.bnu.edu.cn. 7199 IN A 202.112.82.47

m5000a1.lib.bnu.edu.cn. 7199 IN A 202.112.82.47

m5000b1.lib.bnu.edu.cn. 10800 IN A 202.112.82.7

m5000b1.lib.bnu.edu.cn. 7199 IN A 202.112.82.7

m5000b1.lib.bnu.edu.cn. 7199 IN A 202.112.82.7

m5000b1.lib.bnu.edu.cn. 7199 IN A 202.112.82.7

mail.lib.bnu.edu.cn. 10800 IN A 202.112.82.35

meeting.lib.bnu.edu.cn. 10800 IN A 219.224.28.41

old.lib.bnu.edu.cn. 10800 IN A 202.112.82.19

old.lib.bnu.edu.cn. 7199 IN A 202.112.82.19

old.lib.bnu.edu.cn. 7199 IN A 202.112.82.19

opac.lib.bnu.edu.cn. 10800 IN A 202.112.82.84

opac.lib.bnu.edu.cn. 7199 IN A 202.112.82.84

search.lib.bnu.edu.cn. 10800 IN A 202.112.82.16

shusheng.lib.bnu.edu.cn. 10800 IN A 202.112.82.23

wanfang.lib.bnu.edu.cn. 10800 IN A 202.112.82.22

www.lib.bnu.edu.cn. 10800 IN A 202.112.82.32

www.lib.bnu.edu.cn. 7199 IN A 202.112.82.32

www.lib.bnu.edu.cn. 7199 IN A 202.112.82.32

www.lib.bnu.edu.cn. 7199 IN A 202.112.82.32

www.lib.bnu.edu.cn. 7199 IN A 202.112.82.32

www.lib.bnu.edu.cn. 7199 IN A 202.112.82.32

zhishisj.lib.bnu.edu.cn. 10800 IN A 202.112.82.60

like-xb.bnu.edu.cn. 10800 IN CNAME plesk2015.bnu.edu.cn.
plesk2015.bnu.edu.cn. 7199 IN A 219.224.19.82

liuchaolab.bnu.edu.cn. 10800 IN A 219.224.19.82

lmsmedia.bnu.edu.cn. 10800 IN A 59.64.36.25

lxyz.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 7199 IN A 60.247.18.6

lyxy.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

mail.bnu.edu.cn. 10800 IN A 114.255.220.46

mail.bnu.edu.cn. 7199 IN A 114.255.220.46

mail.bnu.edu.cn. 7199 IN A 114.255.220.46

mail.bnu.edu.cn. 7199 IN A 114.255.220.46

mail.bnu.edu.cn. 7199 IN A 114.255.220.46

mail.mail.bnu.edu.cn. 10800 IN CNAME stu.mail.bnu.edu.cn.
stu.mail.bnu.edu.cn. 7199 IN CNAME mailhz.qiye.163.com.
mailhz.qiye.163.com. 624 IN A 123.58.177.239

mail.mail.bnu.edu.cn. 7199 IN CNAME stu.mail.bnu.edu.cn.
