NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

NXDOMAIN for bnu.edu.cn

532movie.bnu.edu.cn. 10800 IN A 172.16.215.40
cms2012.bnu.edu.cn. 4306 IN A 60.247.18.6

bnuhh.bnu.edu.cn. 7199 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 4306 IN A 60.247.18.6

bnutg.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

bnutg.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

brain.bnu.edu.cn. 5300 IN A 114.255.220.34

brain.bnu.edu.cn. 5299 IN A 114.255.220.34

brain.bnu.edu.cn. 5299 IN A 114.255.220.34

brain.bnu.edu.cn. 5299 IN A 114.255.220.34

brain.bnu.edu.cn. 5299 IN A 114.255.220.34

brain.bnu.edu.cn. 5299 IN A 114.255.220.34

brdl.bnu.edu.cn. 10800 IN A 219.224.19.46

brs.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

brs.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

bs.bnu.edu.cn. 4307 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 4306 IN A 60.247.18.6

bs.bnu.edu.cn. 4306 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 4306 IN A 60.247.18.6

bsee.bnu.edu.cn. 10800 IN A 219.224.19.80

bsee.bnu.edu.cn. 7199 IN A 219.224.19.80

btmm.bnu.edu.cn. 10800 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

business.bnu.edu.cn. 10800 IN A 59.64.36.67

bwc.bnu.edu.cn. 10800 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 4306 IN A 60.247.18.6

bwc.bnu.edu.cn. 7199 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 4306 IN A 60.247.18.6

bwc.bnu.edu.cn. 7199 IN CNAME cms2012.bnu.edu.cn.
cms2012.bnu.edu.cn. 4306 IN A 60.247.18.6

bwcx.bnu.edu.cn. 10800 IN CNAME www.bnu.edu.cn.
www.bnu.edu.cn. 6568 IN A 60.247.18.7

c.bnu.edu.cn. 10800 IN CNAME weixin.bnu.edu.cn.
weixin.bnu.edu.cn. 7199 IN A 114.255.220.46

c.bnu.edu.cn. 7199 IN CNAME weixin.bnu.edu.cn.
weixin.bnu.edu.cn. 7199 IN A 114.255.220.46

cagt.bnu.edu.cn. 10800 IN A 59.64.36.5

cagt.bnu.edu.cn. 7199 IN A 59.64.36.5

career.bnu.edu.cn. 7525 IN A 219.143.237.233

career.bnu.edu.cn. 7199 IN A 219.143.237.233

cas.bnu.edu.cn. 60 IN A 114.255.219.19

cas.bnu.edu.cn. 59 IN A 114.255.219.19

cas.bnu.edu.cn. 59 IN A 114.255.219.19

casm.bnu.edu.cn. 10800 IN A 59.64.36.24

casm.bnu.edu.cn. 7199 IN A 59.64.36.24

casm-in.bnu.edu.cn. 10800 IN A 59.64.36.24

cbh.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

cbls.bnu.edu.cn. 10800 IN A 219.224.19.80

ccehd.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

ccehd.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

ccls.bnu.edu.cn. 4224 IN A 219.143.237.235

ccls.bnu.edu.cn. 4223 IN A 219.143.237.235

ccme.bnu.edu.cn. 10800 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

ccme.bnu.edu.cn. 7199 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

ccprr.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

ccprr.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

cecpc.bnu.edu.cn. 10800 IN CNAME plesk2.bnu.edu.cn.
plesk2.bnu.edu.cn. 7199 IN A 219.224.19.81

ceesc.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

cef.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

cef.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

cen.bnu.edu.cn. 10800 IN A 219.224.31.16

cen.bnu.edu.cn. 7199 IN A 219.224.31.16

cen.bnu.edu.cn. 7199 IN A 219.224.31.16

cen.bnu.edu.cn. 7199 IN A 219.224.31.16

cfle.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4412 IN A 60.247.18.9

cfle.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 4412 IN A 60.247.18.9

cflete.bnu.edu.cn. 10800 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

cflete.bnu.edu.cn. 7199 IN CNAME cms2014.bnu.edu.cn.
cms2014.bnu.edu.cn. 7199 IN A 60.247.18.9

cg.bnu.edu.cn. 10800 IN A 219.224.19.145

